scope,text,layer,texttype,x_um,y_um
sky130_fd_sc_hd__or2_2,VPB,64,5,0.23500000000000001,2.72
sky130_fd_sc_hd__or2_2,VNB,64,59,0.23500000000000001,0.0
sky130_fd_sc_hd__or2_2,or2_2,83,44,0.0,0.0
sky130_fd_sc_hd__a21bo_2,B1_N,67,5,1.155,1.19
sky130_fd_sc_hd__a21bo_2,A2,67,5,3.47,1.19
sky130_fd_sc_hd__a21bo_2,X,67,5,0.23500000000000001,1.87
sky130_fd_sc_hd__a21bo_2,A1,67,5,3.015,1.53
sky130_fd_sc_hd__a21bo_2,VGND,68,5,0.23500000000000001,0.0
sky130_fd_sc_hd__a21bo_2,VPWR,68,5,0.23500000000000001,2.72
sky130_fd_sc_hd__a21bo_2,VPB,64,5,0.23500000000000001,2.72
sky130_fd_sc_hd__a21bo_2,VNB,64,59,0.23500000000000001,0.0
sky130_fd_sc_hd__a21bo_2,a21bo_2,83,44,0.0,0.0
sky130_fd_sc_hd__a21o_2,X,67,5,0.6950000000000001,2.21
sky130_fd_sc_hd__a21o_2,B1,67,5,1.615,1.19
sky130_fd_sc_hd__a21o_2,A1,67,5,2.535,0.85
sky130_fd_sc_hd__a21o_2,A2,67,5,2.99,1.19
sky130_fd_sc_hd__a21o_2,A1,67,5,2.535,0.51
sky130_fd_sc_hd__a21o_2,VGND,68,5,0.23500000000000001,0.0
sky130_fd_sc_hd__a21o_2,VPWR,68,5,0.23500000000000001,2.72
sky130_fd_sc_hd__a21o_2,VPB,64,5,0.23500000000000001,2.72
sky130_fd_sc_hd__a21o_2,VNB,64,59,0.23500000000000001,0.0
sky130_fd_sc_hd__a21o_2,a21o_2,83,44,0.0,0.0
sky130_fd_sc_hd__nand2_2,Y,67,5,2.075,0.85
sky130_fd_sc_hd__nand2_2,Y,67,5,2.075,1.19
sky130_fd_sc_hd__nand2_2,Y,67,5,2.075,1.53
sky130_fd_sc_hd__nand2_2,A,67,5,1.615,1.19
sky130_fd_sc_hd__nand2_2,B,67,5,0.6950000000000001,1.19
sky130_fd_sc_hd__nand2_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__nand2_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__nand2_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__nand2_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__nand2_2,nand2_2,83,44,0.0,0.0
sky130_fd_sc_hd__xnor2_2,Y,67,5,5.79,1.53
sky130_fd_sc_hd__xnor2_2,A,67,5,2.07,1.19
sky130_fd_sc_hd__xnor2_2,B,67,5,1.1500000000000001,1.53
sky130_fd_sc_hd__xnor2_2,VGND,68,5,0.23,0.0
sky130_fd_sc_hd__xnor2_2,VPWR,68,5,0.23,2.72
sky130_fd_sc_hd__xnor2_2,VPB,64,5,0.23,2.72
sky130_fd_sc_hd__xnor2_2,VNB,64,59,0.23,0.0
sky130_fd_sc_hd__xnor2_2,xnor2_2,83,44,0.0,0.0
